date,ibm,dell
1/2/2002,60.3688,27.2421
1/3/2002,61.4420,28.7577
1/4/2002,62.4059,29.3125
1/7/2002,61.6358,29.3422
1/8/2002,61.9588,29.3620
1/9/2002,61.8544,29.1143
1/10/2002,60.6868,29.0549
1/11/2002,59.7775,28.7280
1/14/2002,58.6546,27.9157
1/15/2002,59.0521,28.3119
1/16/2002,58.3317,27.3114
1/17/2002,59.5738,28.6785
1/18/2002,56.7665,27.8364
1/22/2002,54.9033,26.4496
1/23/2002,53.6115,26.4298
1/24/2002,54.0189,27.0441
1/25/2002,54.2971,28.1732
1/28/2002,53.7357,28.1534
1/29/2002,51.1769,26.9350
1/30/2002,52.4438,27.3114
1/31/2002,53.6065,27.2322
2/1/2002,53.6612,26.5486
2/4/2002,53.0649,26.5883
2/5/2002,52.8165,26.3109
2/6/2002,53.0503,26.4298
2/7/2002,51.6970,25.9543
2/8/2002,52.2344,26.0038
2/11/2002,53.4234,26.5486
2/12/2002,53.0205,26.5982
2/13/2002,53.7667,27.0836
2/14/2002,53.6772,26.5585
2/15/2002,51.1896,25.3599
2/19/2002,50.3985,24.1711
2/20/2002,49.4085,25.0033
2/21/2002,47.9508,23.5470
2/22/2002,48.9806,23.5371
2/25/2002,48.9060,24.9141
2/26/2002,48.3338,25.0825
2/27/2002,48.6721,25.0330
2/28/2002,48.8164,24.4584
3/1/2002,51.2543,26.1920
3/4/2002,52.6871,27.4204
3/5/2002,52.5727,27.4699
3/6/2002,52.8861,27.6779
3/7/2002,51.5975,27.3312
3/8/2002,52.2842,28.6388
3/11/2002,52.3588,28.4407
3/12/2002,53.9807,27.7374
3/13/2002,53.3239,26.5883
3/14/2002,53.0354,25.6769
3/15/2002,53.1299,25.4788
3/18/2002,52.9110,26.1425
3/19/2002,53.4782,26.7765
3/20/2002,52.4881,26.6675
3/21/2002,53.1249,26.7368
3/22/2002,52.5379,26.3109
3/25/2002,51.5229,26.0632
3/26/2002,51.1946,25.9444
3/27/2002,51.4383,25.7066
3/28/2002,51.7418,25.8651
4/1/2002,51.1747,26.8854
